Year,Country,Region,Income_Group,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Overall_Score
2016,BGR,EU + EFTA + North America,3,0.491984165,0.406603169,0.576773981,0.637540266,0.743781151,0.514880047,0.570432904,0.414048772,0.544505557
2016,BFA,Sub-Saharan Africa,1,0.462059895,0.37591265,0.452281202,0.560597806,0.674858501,0.447330617,0.465675782,0.426889784,0.48320078
2016,KHM,East Asia & Pacific,2,0.313566488,0.240549296,0.242105536,0.387440145,0.646280826,0.28037134,0.189266559,0.301075489,0.32508196
2016,CMR,Sub-Saharan Africa,2,0.413189685,0.238184055,0.348774083,0.430742724,0.471339463,0.381322977,0.34627771,0.299308295,0.366142374
2016,CAN,EU + EFTA + North America,4,0.841733867,0.831903162,0.798215045,0.820472709,0.90767103,0.794005784,0.721987242,0.740056703,0.807005693
2016,CHL,Latin America & Caribbean,4,0.732118468,0.699815188,0.722369149,0.748910134,0.675940913,0.657841258,0.642070034,0.57644205,0.681938399
2016,CHN,East Asia & Pacific,3,0.376166029,0.515439761,0.43757641,0.322993771,0.755484235,0.450524249,0.522654989,0.469824537,0.481332998
2016,COL,Latin America & Caribbean,3,0.533536011,0.407594393,0.642727902,0.554026602,0.549770285,0.51616302,0.4976449,0.34143679,0.505362488
2016,CRI,Latin America & Caribbean,3,0.776455293,0.693885166,0.689709788,0.792989431,0.676456053,0.673970282,0.615765297,0.554418771,0.68420626
2016,CIV,Sub-Saharan Africa,2,0.451379845,0.379545451,0.366413822,0.446396796,0.705078978,0.486971812,0.508369373,0.367446988,0.463950383
2016,HRV,EU + EFTA + North America,4,0.600115013,0.569345269,0.589174969,0.694317432,0.824560767,0.498931761,0.526326314,0.538261666,0.605129149
2016,CZE,EU + EFTA + North America,4,0.756767228,0.680591447,0.689122662,0.809547755,0.894183327,0.676887021,0.72743273,0.734565378,0.746137194
2016,DNK,EU + EFTA + North America,4,0.928423856,0.9598836,0.863933301,0.919841607,0.91525567,0.847562244,0.842292685,0.817412538,0.886825688
2016,DMA,Latin America & Caribbean,3,0.56700902,0.645197274,0.497008416,0.677699016,0.746695638,0.51690347,0.611574973,0.558151463,0.602529909
